ID,Tournament,Date,Home_Team,Home_Goals,Away_Goals,Away_Team,Home_Stadium,Winner,
1,Friendly,1872-11-30,Scotland,0,0,England,TRUE,Draw,
2,Friendly,1873-03-08,England,4,2,Scotland,TRUE,England,
3,Friendly,1874-03-07,Scotland,2,1,England,TRUE,Scotland,
4,Friendly,1875-03-06,England,2,2,Scotland,TRUE,Draw,
5,Friendly,1876-03-04,Scotland,3,0,England,TRUE,Scotland,
6,Friendly,1876-03-25,Scotland,4,0,Wales,TRUE,Scotland,
7,Friendly,1877-03-03,England,1,3,Scotland,TRUE,Scotland,
8,Friendly,1877-03-05,Wales,0,2,Scotland,TRUE,Scotland,
9,Friendly,1878-03-02,Scotland,7,2,England,TRUE,Scotland,
10,Friendly,1878-03-23,Scotland,9,0,Wales,TRUE,Scotland,
11,Friendly,1879-01-18,England,2,1,Wales,TRUE,England,
12,Friendly,1879-04-05,England,5,4,Scotland,TRUE,England,
13,Friendly,1879-04-07,Wales,0,3,Scotland,TRUE,Scotland,
14,Friendly,1880-03-13,Scotland,5,4,England,TRUE,Scotland,
15,Friendly,1880-03-15,Wales,2,3,England,TRUE,England,
16,Friendly,1880-03-27,Scotland,5,1,Wales,TRUE,Scotland,
17,Friendly,1881-02-26,England,0,1,Wales,TRUE,Wales,
18,Friendly,1881-03-12,England,1,6,Scotland,TRUE,Scotland,
19,Friendly,1881-03-14,Wales,1,5,Scotland,TRUE,Scotland,
20,Friendly,1882-02-18,Northern Ireland,0,13,England,TRUE,England,
21,Friendly,1882-02-25,Wales,7,1,Northern Ireland,TRUE,Wales,
22,Friendly,1882-03-11,Scotland,5,1,England,TRUE,Scotland,
23,Friendly,1882-03-13,Wales,5,3,England,TRUE,Wales,
24,Friendly,1882-03-25,Scotland,5,0,Wales,TRUE,Scotland,
25,Friendly,1883-02-03,England,5,0,Wales,TRUE,England,
26,Friendly,1883-02-24,England,7,0,Northern Ireland,TRUE,England,
27,Friendly,1883-03-10,England,2,3,Scotland,TRUE,Scotland,
28,Friendly,1883-03-12,Wales,0,3,Scotland,TRUE,Scotland,
29,Friendly,1883-03-17,Northern Ireland,1,1,Wales,TRUE,Draw,
30,British Championship,1884-02-09,Wales,6,0,Northern Ireland,TRUE,Wales,
31,British Championship,1884-02-23,Northern Ireland,1,8,England,TRUE,England,
32,British Championship,1884-03-15,Scotland,1,0,England,TRUE,Scotland,
33,British Championship,1884-03-17,Wales,0,4,England,TRUE,England,
34,British Championship,1884-03-29,Scotland,4,1,Wales,TRUE,Scotland,
35,British Championship,1885-02-28,England,4,0,Northern Ireland,TRUE,England,
36,British Championship,1885-03-14,England,1,1,Wales,TRUE,Draw,
37,British Championship,1885-03-21,England,1,1,Scotland,TRUE,Draw,
38,British Championship,1885-03-23,Wales,1,8,Scotland,TRUE,Scotland,
39,British Championship,1885-04-11,Northern Ireland,2,8,Wales,TRUE,Wales,
40,Friendly,1885-11-28,United States,0,1,Canada,TRUE,Canada,
41,British Championship,1886-02-27,Wales,5,0,Northern Ireland,TRUE,Wales,
42,British Championship,1886-03-13,Northern Ireland,1,6,England,TRUE,England,
43,British Championship,1886-03-27,Scotland,1,1,England,TRUE,Draw,
44,British Championship,1886-03-29,Wales,1,3,England,TRUE,England,
45,British Championship,1886-04-10,Scotland,4,1,Wales,TRUE,Scotland,
46,Friendly,1886-11-25,United States,3,2,Canada,TRUE,United States,
47,British Championship,1887-02-05,England,7,0,Northern Ireland,TRUE,England,
48,British Championship,1887-02-26,England,4,0,Wales,TRUE,England,
49,British Championship,1887-03-12,Northern Ireland,4,1,Wales,TRUE,Northern Ireland,
50,British Championship,1887-03-19,England,2,3,Scotland,TRUE,Scotland,
51,British Championship,1887-03-21,Wales,0,2,Scotland,TRUE,Scotland,
52,British Championship,1888-02-04,England,5,1,Wales,TRUE,England,
53,British Championship,1888-03-03,Wales,11,0,Northern Ireland,TRUE,Wales,
54,British Championship,1888-03-10,Scotland,5,1,Wales,TRUE,Scotland,
55,British Championship,1888-03-17,Scotland,0,5,England,TRUE,England,
56,British Championship,1888-04-07,Northern Ireland,1,5,England,TRUE,England,
57,Friendly,1888-09-19,Scotland,4,0,Canada,TRUE,Scotland,
58,British Championship,1889-02-23,England,4,1,Wales,TRUE,England,
59,British Championship,1889-03-02,England,6,1,Northern Ireland,TRUE,England,
60,British Championship,1889-04-13,England,2,3,Scotland,TRUE,Scotland,
61,British Championship,1889-04-15,Wales,0,0,Scotland,TRUE,Draw,
62,British Championship,1889-04-27,Northern Ireland,1,3,Wales,TRUE,Wales,
63,British Championship,1890-02-08,Wales,5,2,Northern Ireland,FALSE,Wales,
64,British Championship,1890-03-15,Northern Ireland,1,9,England,TRUE,England,
65,British Championship,1890-03-15,Wales,1,3,England,TRUE,England,
66,British Championship,1890-03-22,Scotland,5,0,Wales,TRUE,Scotland,
67,British Championship,1890-04-05,Scotland,1,1,England,TRUE,Draw,
68,British Championship,1891-02-07,Northern Ireland,7,2,Wales,TRUE,Northern Ireland,
69,British Championship,1891-03-07,England,4,1,Wales,TRUE,England,
70,British Championship,1891-03-07,England,6,1,Northern Ireland,TRUE,England,
71,British Championship,1891-03-21,Wales,3,4,Scotland,TRUE,Scotland,
72,British Championship,1891-04-06,England,2,1,Scotland,TRUE,England,
73,British Championship,1892-02-27,Wales,1,1,Northern Ireland,TRUE,Draw,
74,British Championship,1892-03-05,Northern Ireland,0,2,England,TRUE,England,
75,British Championship,1892-03-05,Wales,0,2,England,TRUE,England,
76,British Championship,1892-03-26,Scotland,6,1,Wales,TRUE,Scotland,
77,British Championship,1892-04-02,Scotland,1,4,England,TRUE,England,
78,British Championship,1893-02-25,England,6,1,Northern Ireland,TRUE,England,
79,British Championship,1893-03-13,England,6,0,Wales,TRUE,England,
80,British Championship,1893-03-18,Wales,0,8,Scotland,TRUE,Scotland,
81,British Championship,1893-04-01,England,5,2,Scotland,TRUE,England,
82,British Championship,1894-02-24,Wales,4,1,Northern Ireland,TRUE,Wales,
83,British Championship,1894-03-03,Northern Ireland,2,2,England,TRUE,Draw,
84,British Championship,1894-03-12,Wales,1,5,England,TRUE,England,
85,British Championship,1894-03-24,Scotland,5,2,Wales,TRUE,Scotland,
86,British Championship,1894-04-07,Scotland,2,2,England,TRUE,Draw,
87,British Championship,1895-03-09,England,9,0,Northern Ireland,TRUE,England,
88,British Championship,1895-03-16,Northern Ireland,2,2,Wales,TRUE,Draw,
89,British Championship,1895-03-18,England,1,1,Wales,TRUE,Draw,
90,British Championship,1895-03-23,Wales,2,2,Scotland,TRUE,Draw,
91,British Championship,1895-04-06,England,3,0,Scotland,TRUE,England,
92,British Championship,1896-02-29,Wales,6,1,Northern Ireland,TRUE,Wales,
93,British Championship,1896-03-07,Northern Ireland,0,2,England,TRUE,England,
94,British Championship,1896-03-16,Wales,1,9,England,TRUE,England,
95,British Championship,1896-03-21,Scotland,4,0,Wales,TRUE,Scotland,
96,British Championship,1896-04-04,Scotland,2,1,England,TRUE,Scotland,
97,British Championship,1897-02-20,England,6,0,Northern Ireland,TRUE,England,
98,British Championship,1897-03-06,Northern Ireland,4,3,Wales,TRUE,Northern Ireland,
99,British Championship,1897-03-20,Wales,2,2,Scotland,TRUE,Draw,
100,British Championship,1897-03-29,England,4,0,Wales,TRUE,England,
101,British Championship,1897-04-03,England,1,2,Scotland,TRUE,Scotland,
102,British Championship,1898-02-19,Wales,0,1,Northern Ireland,TRUE,Northern Ireland,
103,British Championship,1898-03-05,Northern Ireland,2,3,England,TRUE,England,
104,British Championship,1898-03-19,Scotland,5,2,Wales,TRUE,Scotland,
105,British Championship,1898-03-28,Wales,0,3,England,TRUE,England,
106,British Championship,1898-04-02,Scotland,1,3,England,TRUE,England,
107,British Championship,1899-02-18,England,13,2,Northern Ireland,TRUE,England,
108,British Championship,1899-03-04,Northern Ireland,1,0,Wales,TRUE,Northern Ireland,
109,British Championship,1899-03-18,Wales,0,6,Scotland,TRUE,Scotland,
110,British Championship,1899-03-20,England,4,0,Wales,TRUE,England,
111,British Championship,1899-04-08,England,2,1,Scotland,TRUE,England,
112,British Championship,03-02-1900,Scotland,5,2,Wales,TRUE,Scotland,
113,British Championship,24-02-1900,Wales,2,0,Northern Ireland,TRUE,Wales,
114,British Championship,17-03-1900,Northern Ireland,0,2,England,TRUE,England,
115,British Championship,26-03-1900,Wales,1,1,England,TRUE,Draw,
116,British Championship,07-04-1900,Scotland,4,1,England,TRUE,Scotland,
117,British Championship,02-03-1901,Wales,1,1,Scotland,TRUE,Draw,
118,British Championship,09-03-1901,England,3,0,Northern Ireland,TRUE,England,
119,British Championship,18-03-1901,England,6,0,Wales,TRUE,England,
120,British Championship,23-03-1901,Northern Ireland,0,1,Wales,TRUE,Wales,
121,British Championship,30-03-1901,England,2,2,Scotland,TRUE,Draw,
122,British Championship,22-02-1902,Wales,0,3,Northern Ireland,TRUE,Northern Ireland,
123,British Championship,03-03-1902,Wales,0,0,England,TRUE,Draw,
124,British Championship,15-03-1902,Scotland,5,1,Wales,TRUE,Scotland,
125,British Championship,22-03-1902,Northern Ireland,0,1,England,TRUE,England,
126,British Championship,03-05-1902,England,2,2,Scotland,TRUE,Draw,
127,Friendly,20-07-1902,Uruguay,0,6,Argentina,TRUE,Argentina,
128,British Championship,14-02-1903,England,4,0,Northern Ireland,TRUE,England,
129,British Championship,02-03-1903,England,2,1,Wales,TRUE,England,
130,British Championship,09-03-1903,Wales,0,1,Scotland,TRUE,Scotland,
131,British Championship,28-03-1903,Northern Ireland,2,0,Wales,TRUE,Northern Ireland,
132,British Championship,04-04-1903,England,1,2,Scotland,TRUE,Scotland,
133,Friendly,13-09-1903,Argentina,2,3,Uruguay,TRUE,Uruguay,
134,British Championship,29-02-1904,Wales,2,2,England,TRUE,Draw,
135,British Championship,12-03-1904,Northern Ireland,1,3,England,TRUE,England,
136,British Championship,12-03-1904,Scotland,1,1,Wales,TRUE,Draw,
137,British Championship,21-03-1904,Wales,0,1,Northern Ireland,TRUE,Northern Ireland,
138,British Championship,09-04-1904,Scotland,0,1,England,TRUE,England,
139,Friendly,01-05-1904,Belgium,3,3,France,TRUE,Draw,
140,Friendly,12-02-1905,France,1,0,Switzerland,TRUE,France,
141,British Championship,25-02-1905,England,1,1,Northern Ireland,TRUE,Draw,
142,British Championship,06-03-1905,Wales,3,1,Scotland,TRUE,Wales,
143,British Championship,27-03-1905,England,3,1,Wales,TRUE,England,
144,British Championship,01-04-1905,England,1,0,Scotland,TRUE,England,
145,British Championship,08-04-1905,Northern Ireland,2,2,Wales,TRUE,Draw,
146,Friendly,30-04-1905,Belgium,1,4,Netherlands,TRUE,Netherlands,
147,Friendly,07-05-1905,Belgium,7,0,France,TRUE,Belgium,
148,Friendly,14-05-1905,Netherlands,4,0,Belgium,TRUE,Netherlands,
149,Copa Lipton,15-08-1905,Argentina,0,0,Uruguay,TRUE,Draw,
150,British Championship,17-02-1906,Northern Ireland,0,5,England,TRUE,England,
151,British Championship,03-03-1906,Scotland,0,2,Wales,TRUE,Wales,
152,British Championship,19-03-1906,Wales,0,1,England,TRUE,England,
153,British Championship,02-04-1906,Wales,4,4,Northern Ireland,TRUE,Draw,
154,British Championship,07-04-1906,Scotland,2,1,England,TRUE,Scotland,
155,Friendly,22-04-1906,France,0,5,Belgium,TRUE,Belgium,
156,Friendly,29-04-1906,Belgium,5,0,Netherlands,TRUE,Belgium,
157,Friendly,13-05-1906,Netherlands,2,3,Belgium,TRUE,Belgium,
158,Copa Lipton,15-08-1906,Uruguay,0,2,Argentina,TRUE,Argentina,
159,Copa Newton,21-10-1906,Argentina,2,1,Uruguay,TRUE,Argentina,
160,British Championship,16-02-1907,England,1,0,Northern Ireland,TRUE,England,
161,British Championship,23-02-1907,Northern Ireland,2,3,Wales,TRUE,Wales,
162,British Championship,04-03-1907,Wales,1,0,Scotland,TRUE,Wales,
