ID,Year,Date,Stage,Home_Team,Home_Goals,Away_Goals,Away_Team,Host_Team,Win_Condition
1,1930,13-07-1930,Group stage,France,4,1,Mexico,FALSE,France
2,1930,13-07-1930,Group stage,United States,3,0,Belgium,FALSE,United States
3,1930,14-07-1930,Group stage,Yugoslavia,2,1,Brazil,FALSE,Yugoslavia
4,1930,14-07-1930,Group stage,Romania,3,1,Peru,FALSE,Romania
5,1930,15-07-1930,Group stage,Argentina,1,0,France,FALSE,Argentina
6,1930,16-07-1930,Group stage,Chile,3,0,Mexico,FALSE,Chile
7,1930,17-07-1930,Group stage,Yugoslavia,4,0,Bolivia,FALSE,Yugoslavia
8,1930,17-07-1930,Group stage,United States,3,0,Paraguay,FALSE,United States
9,1930,18-07-1930,Group stage,Uruguay,1,0,Peru,TRUE,Uruguay
10,1930,19-07-1930,Group stage,Chile,1,0,France,FALSE,Chile
11,1930,19-07-1930,Group stage,Argentina,6,3,Mexico,FALSE,Argentina
12,1930,20-07-1930,Group stage,Brazil,4,0,Bolivia,FALSE,Brazil
13,1930,20-07-1930,Group stage,Paraguay,1,0,Belgium,FALSE,Paraguay
14,1930,21-07-1930,Group stage,Uruguay,4,0,Romania,TRUE,Uruguay
15,1930,22-07-1930,Group stage,Argentina,3,1,Chile,FALSE,Argentina
16,1930,26-07-1930,Semi-finals,Argentina,6,1,United States,FALSE,Argentina
17,1930,27-07-1930,Semi-finals,Uruguay,6,1,Yugoslavia,TRUE,Uruguay
18,1930,30-07-1930,Final,Uruguay,4,2,Argentina,TRUE,Uruguay
19,1934,27-05-1934,Round of 16,Austria,3,2,France,FALSE,Austria
20,1934,27-05-1934,Round of 16,Hungary,4,2,Egypt,FALSE,Hungary
21,1934,27-05-1934,Round of 16,Switzerland,3,2,Netherlands,FALSE,Switzerland
22,1934,27-05-1934,Round of 16,Sweden,3,2,Argentina,FALSE,Sweden
23,1934,27-05-1934,Round of 16,Germany,5,2,Belgium,FALSE,Germany
24,1934,27-05-1934,Round of 16,Spain,3,1,Brazil,FALSE,Spain
25,1934,27-05-1934,Round of 16,Italy,7,1,United States,TRUE,Italy
26,1934,27-05-1934,Round of 16,Czechoslovakia,2,1,Romania,FALSE,Czechoslovakia
27,1934,31-05-1934,Quarter-finals,Czechoslovakia,3,2,Switzerland,FALSE,Czechoslovakia
28,1934,31-05-1934,Quarter-finals,Germany,2,1,Sweden,FALSE,Germany
29,1934,31-05-1934,Quarter-finals,Italy,1,1,Spain,TRUE,Draw
30,1934,31-05-1934,Quarter-finals,Austria,2,1,Hungary,FALSE,Austria
31,1934,01-06-1934,Quarter-finals,Italy,1,0,Spain,TRUE,Italy
32,1934,03-06-1934,Semi-finals,Italy,1,0,Austria,TRUE,Italy
33,1934,03-06-1934,Semi-finals,Czechoslovakia,3,1,Germany,FALSE,Czechoslovakia
34,1934,07-06-1934,Third place,Germany,3,2,Austria,FALSE,Germany
35,1934,10-06-1934,Final,Italy,2,1,Czechoslovakia,TRUE,Italy
36,1938,04-06-1938,Round of 16,Switzerland,1,1,Germany,FALSE,Draw
37,1938,05-06-1938,Round of 16,Hungary,6,0,Indonesia,FALSE,Hungary
38,1938,05-06-1938,Round of 16,France,3,1,Belgium,TRUE,France
39,1938,05-06-1938,Round of 16,Cuba,3,3,Romania,FALSE,Draw
40,1938,05-06-1938,Round of 16,Italy,2,1,Norway,FALSE,Italy
41,1938,05-06-1938,Round of 16,Brazil,6,5,Poland,FALSE,Brazil
42,1938,05-06-1938,Round of 16,Czechoslovakia,3,0,Netherlands,FALSE,Czechoslovakia
43,1938,09-06-1938,Round of 16,Cuba,2,1,Romania,FALSE,Cuba
44,1938,09-06-1938,Round of 16,Switzerland,4,2,Germany,FALSE,Switzerland
45,1938,12-06-1938,Quarter-finals,Brazil,1,1,Czechoslovakia,FALSE,Draw
46,1938,12-06-1938,Quarter-finals,Hungary,2,0,Switzerland,FALSE,Hungary
47,1938,12-06-1938,Quarter-finals,Sweden,8,0,Cuba,FALSE,Sweden
48,1938,12-06-1938,Quarter-finals,France,1,3,Italy,TRUE,Italy
49,1938,14-06-1938,Quarter-finals,Brazil,2,1,Czechoslovakia,FALSE,Brazil
50,1938,16-06-1938,Semi-finals,Hungary,5,1,Sweden,FALSE,Hungary
51,1938,16-06-1938,Semi-finals,Italy,2,1,Brazil,FALSE,Italy
52,1938,19-06-1938,Third place,Brazil,4,2,Sweden,FALSE,Brazil
53,1938,19-06-1938,Final,Italy,4,2,Hungary,FALSE,Italy
54,1950,24-06-1950,First round,Brazil,4,0,Mexico,TRUE,Brazil
55,1950,25-06-1950,First round,England,2,0,Chile,FALSE,England
56,1950,25-06-1950,First round,Spain,3,1,United States,FALSE,Spain
57,1950,25-06-1950,First round,Sweden,3,2,Italy,FALSE,Sweden
58,1950,25-06-1950,First round,Yugoslavia,3,0,Switzerland,FALSE,Yugoslavia
59,1950,28-06-1950,First round,Brazil,2,2,Switzerland,TRUE,Draw
60,1950,28-06-1950,First round,Yugoslavia,4,1,Mexico,FALSE,Yugoslavia
61,1950,29-06-1950,First round,Spain,2,0,Chile,FALSE,Spain
62,1950,29-06-1950,First round,United States,1,0,England,FALSE,United States
63,1950,29-06-1950,First round,Sweden,2,2,Paraguay,FALSE,Draw
64,1950,01-07-1950,First round,Brazil,2,0,Yugoslavia,TRUE,Brazil
65,1950,02-07-1950,First round,Spain,1,0,England,FALSE,Spain
66,1950,02-07-1950,First round,Italy,2,0,Paraguay,FALSE,Italy
67,1950,02-07-1950,First round,Uruguay,8,0,Bolivia,FALSE,Uruguay
68,1950,02-07-1950,First round,Chile,5,2,United States,FALSE,Chile
69,1950,02-07-1950,First round,Switzerland,2,1,Mexico,FALSE,Switzerland
70,1950,09-07-1950,Final round,Uruguay,2,2,Spain,FALSE,Draw
71,1950,09-07-1950,Final round,Brazil,7,1,Sweden,TRUE,Brazil
72,1950,13-07-1950,Final round,Brazil,6,1,Spain,TRUE,Brazil
73,1950,13-07-1950,Final round,Uruguay,3,2,Sweden,FALSE,Uruguay
74,1950,16-07-1950,Final round,Sweden,3,1,Spain,FALSE,Sweden
75,1950,16-07-1950,Final round,Uruguay,2,1,Brazil,TRUE,Uruguay
76,1954,16-06-1954,Group stage,Uruguay,2,0,Czechoslovakia,FALSE,Uruguay
77,1954,16-06-1954,Group stage,Austria,1,0,Scotland,FALSE,Austria
78,1954,16-06-1954,Group stage,Brazil,5,0,Mexico,FALSE,Brazil
79,1954,16-06-1954,Group stage,Yugoslavia,1,0,France,FALSE,Yugoslavia
80,1954,17-06-1954,Group stage,Switzerland,2,1,Italy,TRUE,Switzerland
81,1954,17-06-1954,Group stage,Germany,4,1,Turkey,FALSE,Germany
82,1954,17-06-1954,Group stage,Hungary,9,0,South Korea,FALSE,Hungary
83,1954,17-06-1954,Group stage,England,4,4,Belgium,FALSE,Draw
84,1954,19-06-1954,Group stage,Uruguay,7,0,Scotland,FALSE,Uruguay
85,1954,19-06-1954,Group stage,Austria,5,0,Czechoslovakia,FALSE,Austria
86,1954,19-06-1954,Group stage,Brazil,1,1,Yugoslavia,FALSE,Draw
87,1954,19-06-1954,Group stage,France,3,2,Mexico,FALSE,France
88,1954,20-06-1954,Group stage,Hungary,8,3,Germany,FALSE,Hungary
